source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
PVS,BSR,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=92.0; owner_pct_j=51.38; method=common_owner_min_pct; min(92.00%, 51.38%)"
DCM,DPM,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=59.59; method=common_owner_min_pct; min(75.56%, 59.59%)"
DPM,DCM,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=59.59; method=common_owner_min_pct; min(75.56%, 59.59%)"
DCM,GAS,common_owner,0.7556,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=95.8; method=common_owner_min_pct; min(75.56%, 95.80%)"
GAS,DCM,common_owner,0.7556,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=95.8; method=common_owner_min_pct; min(75.56%, 95.80%)"
DCM,POW,common_owner,0.7556,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=80.0; method=common_owner_min_pct; min(75.56%, 80.00%)"
POW,DCM,common_owner,0.7556,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=80.0; method=common_owner_min_pct; min(75.56%, 80.00%)"
DCM,PVD,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=50.0; method=common_owner_min_pct; min(75.56%, 50.00%)"
PVD,DCM,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=50.0; method=common_owner_min_pct; min(75.56%, 50.00%)"
DCM,PVS,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=51.38; method=common_owner_min_pct; min(75.56%, 51.38%)"
PVS,DCM,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=75.56; owner_pct_j=51.38; method=common_owner_min_pct; min(75.56%, 51.38%)"
DPM,GAS,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=95.8; method=common_owner_min_pct; min(59.59%, 95.80%)"
GAS,DPM,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=95.8; method=common_owner_min_pct; min(59.59%, 95.80%)"
DPM,POW,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=80.0; method=common_owner_min_pct; min(59.59%, 80.00%)"
POW,DPM,common_owner,0.5959,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=80.0; method=common_owner_min_pct; min(59.59%, 80.00%)"
DPM,PVD,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=50.0; method=common_owner_min_pct; min(59.59%, 50.00%)"
PVD,DPM,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=50.0; method=common_owner_min_pct; min(59.59%, 50.00%)"
DPM,PVS,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=51.38; method=common_owner_min_pct; min(59.59%, 51.38%)"
PVS,DPM,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=59.59; owner_pct_j=51.38; method=common_owner_min_pct; min(59.59%, 51.38%)"
GAS,POW,common_owner,0.8,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=80.0; method=common_owner_min_pct; min(95.80%, 80.00%)"
POW,GAS,common_owner,0.8,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=80.0; method=common_owner_min_pct; min(95.80%, 80.00%)"
