source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
CTG,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
CTG,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
EIB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
HDB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
LPB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MBB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
MSB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
OCB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,SSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SHB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,ABB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,ACB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,BID,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,CTG,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,EIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,HDB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,LPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,MBB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,MSB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,OCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,SHB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,STB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,TCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,TPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,VCB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,VIB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
SSB,VPB,same_industry,0.5,0,,,ticker_metadata.csv,same industry=Banking; research-defined static weight
