variant,epoch,train_loss,val_mae,val_rmse
top30_anchor_h64_d000,1,0.4377176008992276,0.009551824070513248,0.014200757257640362
top30_anchor_h64_d000,2,0.3863795839123807,0.009735741652548313,0.014382828958332539
top30_anchor_h64_d000,3,0.3542467704263784,0.009993042796850204,0.014912547543644905
top30_anchor_h64_d000,4,0.3265519298739352,0.01007828488945961,0.014868471771478653
top30_anchor_h64_d000,5,0.30680605011471246,0.00993601605296135,0.014521376229822636
top30_anchor_h64_d000,6,0.28948752758866647,0.009910017251968384,0.014575918205082417
top30_anchor_h64_d000,7,0.27724278781373624,0.009891178458929062,0.014446454122662544
top30_anchor_h64_d000,8,0.2668007485947366,0.009922780096530914,0.014553631655871868
top30_anchor_h64_d000,9,0.2571647197513257,0.010128612630069256,0.014730826951563358
top30_anchor_h64_d000,10,0.24966147112644324,0.010258128866553307,0.01493870560079813
top30_anchor_h64_d000,11,0.2427525856232239,0.010354770347476006,0.014909862540662289
top30_anchor_h64_d010,1,0.4509288895938356,0.009518190287053585,0.014170226640999317
top30_anchor_h64_d010,2,0.40874899645983165,0.009683502838015556,0.014342140406370163
top30_anchor_h64_d010,3,0.38814474162408863,0.009907220490276814,0.014827791601419449
top30_anchor_h64_d010,4,0.37182493583630705,0.009851205162703991,0.014554506167769432
top30_anchor_h64_d010,5,0.35614020137463587,0.009905066341161728,0.014706547372043133
top30_anchor_h64_d010,6,0.34515624581757237,0.00972822681069374,0.014467636123299599
top30_anchor_h64_d010,7,0.3357786238193512,0.009577571414411068,0.014433760195970535
top30_anchor_h64_d010,8,0.32987577935396617,0.009672931395471096,0.014559184201061726
top30_anchor_h64_d010,9,0.3223150175506786,0.009852515533566475,0.014697023667395115
top30_anchor_h64_d010,10,0.317478330963749,0.00976870208978653,0.014623151160776615
top30_anchor_h64_d010,11,0.3131207399449106,0.009767202660441399,0.014547720551490784
top50_anchor_h96_d010,1,0.4617488732782461,0.009479130618274212,0.01402739156037569
top50_anchor_h96_d010,2,0.40889092926251686,0.009743972681462765,0.01435934379696846
top50_anchor_h96_d010,3,0.3836431169913987,0.009864491410553455,0.014655199833214283
top50_anchor_h96_d010,4,0.35951174366272104,0.009880848228931427,0.014745851047337055
top50_anchor_h96_d010,5,0.34142696907964803,0.009896795265376568,0.014758073724806309
top50_anchor_h96_d010,6,0.32653931591470364,0.009910278022289276,0.014694597572088242
top50_anchor_h96_d010,7,0.3140220061197119,0.009975828230381012,0.014920380897819996
top50_anchor_h96_d010,8,0.3022478485511521,0.010005624033510685,0.015020388178527355
top50_anchor_h96_d010,9,0.29333876654253166,0.01016695611178875,0.015134698711335659
top50_anchor_h96_d010,10,0.2887519476777416,0.0101641109213233,0.015072690322995186
top50_anchor_h96_d010,11,0.2786514867665404,0.010043524205684662,0.014961942099034786
all_anchor_h128_d015,1,0.4566806085028891,0.00948202796280384,0.014031157828867435
all_anchor_h128_d015,2,0.4081746375156661,0.009694221429526806,0.01420016773045063
all_anchor_h128_d015,3,0.38344306915493337,0.009828862734138966,0.014616111293435097
all_anchor_h128_d015,4,0.36399493227570745,0.009832474403083324,0.01452971063554287
all_anchor_h128_d015,5,0.3445106527562869,0.009818279184401035,0.014549130573868752
all_anchor_h128_d015,6,0.33402869458925927,0.009817047975957394,0.014456424862146378
all_anchor_h128_d015,7,0.3200195653963897,0.009805132634937763,0.014615131542086601
all_anchor_h128_d015,8,0.31054757661738636,0.009850351139903069,0.014773055911064148
all_anchor_h128_d015,9,0.299982880131673,0.009823055006563663,0.01459714025259018
all_anchor_h128_d015,10,0.2951996417368873,0.009859793819487095,0.014682522043585777
all_anchor_h128_d015,11,0.2886950656519098,0.00982793141156435,0.014623858965933323
