task,accuracy,macro_f1,weighted_f1,n_test,f1_capital_issuance,f1_debt_bond,f1_dividend,f1_earnings,f1_leadership,f1_legal_regulatory,f1_ma_ownership,f1_market_industry,f1_other,f1_project_contract,f1_negative,f1_neutral,f1_positive
category,0.9060181368507831,0.8859062136446992,0.9049127374272531,1213,0.8510638297872339,0.8860759493670887,0.963855421686747,0.9742710120068611,0.9121621621621622,0.8085106382978724,0.9164420485175202,0.8613138686131386,0.8226221079691517,0.8627450980392156,,,
sentiment,0.966199505358615,0.8618792445169191,0.9660211715423193,1213,,,,,,,,,,,0.8115942028985507,0.9823768639855399,0.7916666666666666
