model,epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
GNN Correlation Only,20,7.429517779288994e-05,0.006676874123513699,0.00855783186852932,0.011051835492253304,0.015363267622888088
GNN Correlation Only,21,7.333983211860721e-05,0.006683970335870981,0.008543054573237896,0.011150740087032318,0.015474477782845497
GNN Correlation Only,22,7.275902657232607e-05,0.0064445068128407,0.008506281301379204,0.01106305792927742,0.015764383599162102
GNN Correlation Only,23,7.261849520634109e-05,0.006449634674936533,0.008456246927380562,0.011038622818887234,0.01569736935198307
GNN Correlation Only,24,7.2575602321341e-05,0.006630456540733576,0.008448643609881401,0.011214329861104488,0.015479865483939648
GNN Correlation Only,25,7.111038640657845e-05,0.00638126116245985,0.008405998349189758,0.011099370196461678,0.01576465740799904
GNN Correlation Only,26,7.135488627799561e-05,0.006495002191513777,0.008367259055376053,0.011126558296382427,0.01551712304353714
GNN Correlation Only,27,7.053789909883974e-05,0.006605878937989473,0.008409006521105766,0.011256348341703415,0.015478174202144146
GNN Correlation Only,28,7.002877734316092e-05,0.006327521055936813,0.008338920772075653,0.011123974807560444,0.01576855033636093
GNN Correlation Only,29,6.977505507811363e-05,0.00627877376973629,0.008356492966413498,0.011112654581665993,0.015907583758234978
GNN Correlation Only,30,6.95203362415815e-05,0.006304715760052204,0.008257308974862099,0.011126224882900715,0.01569734886288643
GNN + News,1,0.00021876273134576848,0.007990797981619835,0.010202422738075256,0.010961493477225304,0.01533101312816143
GNN + News,2,0.00010169325351823992,0.007754968479275703,0.009935546666383743,0.010812426917254925,0.015199145302176476
GNN + News,3,9.816385816872841e-05,0.007594536058604717,0.009775583632290363,0.010697644203901291,0.015103808604180813
GNN + News,4,9.551826799232063e-05,0.007420521695166826,0.009625416249036789,0.01068060752004385,0.015150776132941246
GNN + News,5,9.300975427557264e-05,0.0074266656301915646,0.009494381956756115,0.010630350559949875,0.014930972829461098
GNN + News,6,8.975368238621271e-05,0.0077107674442231655,0.009533935226500034,0.01070488803088665,0.014586096629500389
GNN + News,7,8.724602218623454e-05,0.00700693903490901,0.009273096919059753,0.010742686688899994,0.015492592938244343
GNN + News,8,8.461682227789424e-05,0.006947354879230261,0.009057261049747467,0.010704186744987965,0.015272299759089947
GNN + News,9,8.123508157422616e-05,0.00686235586181283,0.008945083245635033,0.010770078748464584,0.015226919203996658
GNN + News,10,7.983644947319502e-05,0.006923675537109375,0.008804996497929096,0.010807852260768414,0.015038831159472466
GNN + News,11,7.732195468457987e-05,0.006865846924483776,0.008721863850951195,0.01086530089378357,0.014983052387833595
GNN + News,12,7.611292242091299e-05,0.006483708508312702,0.008690958842635155,0.010976327583193779,0.015792332589626312
GNN + News,13,7.441946904544884e-05,0.006702904123812914,0.008536840789020061,0.010964195244014263,0.015123389661312103
GNN + News,14,7.306541579788657e-05,0.006537601817399263,0.008430548012256622,0.011016043834388256,0.015279489569365978
GNN + News,15,7.19673914699665e-05,0.006398418918251991,0.008706803433597088,0.011156603693962097,0.016158567741513252
GNN + News,16,7.19081240423557e-05,0.006315356120467186,0.008521259762346745,0.011082371696829796,0.015936600044369698
GNN + News,17,7.011380559209013e-05,0.006275010760873556,0.00830060988664627,0.01116943359375,0.015803581103682518
GNN + News,18,7.072711530547108e-05,0.006293488200753927,0.008228380233049393,0.011196988634765148,0.01568189635872841
GNN + News,19,6.945602616460453e-05,0.006292145233601332,0.008188349194824696,0.011229687370359898,0.015649985522031784
GNN + News,20,6.858480153295528e-05,0.006162486504763365,0.00827539898455143,0.011220427230000496,0.016051651909947395
GNN + News,21,6.82445578047097e-05,0.006691055838018656,0.008367970585823059,0.011522127315402031,0.015499920584261417
GNN + News,22,6.75147794907154e-05,0.0061150589026510715,0.008132817223668098,0.01119920238852501,0.015909887850284576
GNN + News,23,6.712053430918229e-05,0.006148438435047865,0.008067160844802856,0.011236149817705154,0.015821978449821472
GNN + News,24,6.615155794978847e-05,0.006386294029653072,0.008187796920537949,0.011515806429088116,0.015801427885890007
GNN + News,25,6.584327345462366e-05,0.006110722199082375,0.008152244612574577,0.011312030255794525,0.016139505431056023
GNN + News,26,6.571853138607807e-05,0.006328179966658354,0.00805383175611496,0.011401369236409664,0.01554423850029707
GNN + News,27,6.736956322950596e-05,0.0064543671905994415,0.008138595148921013,0.011493471451103687,0.015549377538263798
GNN + News,28,6.509465211204389e-05,0.005977013148367405,0.007951619103550911,0.011358704417943954,0.016092117875814438
GNN + News,29,6.466023138097128e-05,0.005979619920253754,0.00788769219070673,0.011325277388095856,0.01597302034497261
GNN + News,30,6.36382390498071e-05,0.00598903838545084,0.00808158703148365,0.011402921751141548,0.016354013234376907
GNN + Relationship,1,0.0023297996151321115,0.009957771748304367,0.013240025378763676,0.012785131111741066,0.017003251239657402
GNN + Relationship,2,0.00012042787855006605,0.007917649112641811,0.010171888396143913,0.010763664729893208,0.014836887829005718
GNN + Relationship,3,0.00010056101922189907,0.00766281271353364,0.009845550172030926,0.010664519853889942,0.01486782543361187
GNN + Relationship,4,9.598774868795919e-05,0.007415750529617071,0.00971739087253809,0.010689052753150463,0.015179693698883057
GNN + Relationship,5,9.384477274462341e-05,0.007477716542780399,0.009595077484846115,0.010629656724631786,0.014910798519849777
GNN + Relationship,6,9.196349269440097e-05,0.007826481014490128,0.009698879905045033,0.010713690891861916,0.01456529088318348
GNN + Relationship,7,9.089678144758387e-05,0.007273208349943161,0.009417690336704254,0.010643966495990753,0.015076378360390663
GNN + Relationship,8,8.837562070825257e-05,0.00721048004925251,0.00932338647544384,0.010660081170499325,0.015076283365488052
GNN + Relationship,9,8.612918440297606e-05,0.007083929609507322,0.00924032274633646,0.010662335902452469,0.015167108736932278
GNN + Relationship,10,8.520078476830085e-05,0.0071815126575529575,0.009158369153738022,0.010720635764300823,0.01498327311128378
GNN + Relationship,11,8.381274364505624e-05,0.006950747687369585,0.00908298883587122,0.01070795115083456,0.015236517414450645
GNN + Relationship,12,8.20160037678321e-05,0.006909800693392754,0.008999429643154144,0.010750621557235718,0.015250476077198982
GNN + Relationship,13,8.134027713470371e-05,0.0070359967648983,0.008951427415013313,0.010840954259037971,0.015087991952896118
GNN + Relationship,14,7.949529883203908e-05,0.006848369259387255,0.008866071701049805,0.010872612707316875,0.01532165240496397
GNN + Relationship,15,7.857261845211108e-05,0.006748388521373272,0.008827622048556805,0.010898062959313393,0.015470943413674831
GNN + Relationship,16,7.762034194104584e-05,0.006665317807346582,0.008775525726377964,0.010836072266101837,0.015501964837312698
GNN + Relationship,17,7.663355755803716e-05,0.006693221163004637,0.008690440095961094,0.010909159667789936,0.015388998202979565
GNN + Relationship,18,7.635833519030242e-05,0.006546561140567064,0.008793341927230358,0.01091732643544674,0.015823043882846832
GNN + Relationship,19,7.568050193273643e-05,0.006588790565729141,0.008619560860097408,0.011007105931639671,0.015636228024959564
GNN + Relationship,20,7.50235400529721e-05,0.006691687274724245,0.008602393791079521,0.010991130955517292,0.015337820164859295
GNN + Relationship,21,7.406737342769761e-05,0.006624563597142696,0.0085517056286335,0.011033468879759312,0.015499388799071312
GNN + Relationship,22,7.316172723808597e-05,0.006451694294810295,0.008542471565306187,0.010983536951243877,0.015704669058322906
GNN + Relationship,23,7.316587025049938e-05,0.00653769401833415,0.008481952361762524,0.011015793308615685,0.015547729097306728
GNN + Relationship,24,7.249973778896439e-05,0.00655808812007308,0.008438115939497948,0.011085737496614456,0.015468527562916279
GNN + Relationship,25,7.13804815712783e-05,0.006382346618920565,0.008414335548877716,0.01105527114123106,0.015735359862446785
GNN + Relationship,26,7.141946621085217e-05,0.006487075239419937,0.00835474394261837,0.011068261228501797,0.015455544926226139
GNN + Relationship,27,7.04718870932289e-05,0.006602948997169733,0.008401944302022457,0.011191142722964287,0.015467033721506596
GNN + Relationship,28,6.979191382396817e-05,0.006324859336018562,0.008321689441800117,0.01111004687845707,0.015785040333867073
GNN + Relationship,29,6.92578676887112e-05,0.006262806709855795,0.008384914137423038,0.011101344600319862,0.01599947176873684
GNN + Relationship,30,6.920541478217685e-05,0.006283809430897236,0.008242546580731869,0.011127013713121414,0.015771906822919846
Full Model,1,0.0017072559558953563,0.008533955551683903,0.01102692261338234,0.011226963251829147,0.015547921881079674
Full Model,2,0.00010763916209050935,0.007790361065417528,0.010073898360133171,0.010851714760065079,0.015338905155658722
Full Model,3,0.00010056603834175715,0.007696952670812607,0.009931386448442936,0.010782454162836075,0.015246128663420677
Full Model,4,9.82689269867185e-05,0.00766137707978487,0.009840444661676884,0.01068127527832985,0.01505787018686533
Full Model,5,9.674201106874182e-05,0.007603089325129986,0.009761925786733627,0.01064568292349577,0.01501324214041233
Full Model,6,9.481232501134547e-05,0.007648543454706669,0.009686648845672607,0.01063727866858244,0.014829202555119991
Full Model,7,9.34653421169177e-05,0.007490863557904959,0.009575161151587963,0.01059440802782774,0.014864038676023483
Full Model,8,9.153396651175083e-05,0.007354946807026863,0.009465442039072514,0.010604210197925568,0.014958425424993038
Full Model,9,8.852286860459455e-05,0.00722281401976943,0.00934027973562479,0.010632947087287903,0.015007156878709793
Full Model,10,8.65242739476549e-05,0.007225072011351585,0.00922231376171112,0.01073915883898735,0.014958160929381847
Full Model,11,8.502613268172999e-05,0.007041705772280693,0.00908331573009491,0.01075610239058733,0.015094404108822346
Full Model,12,8.285792864626274e-05,0.006945335306227207,0.008986271917819977,0.010854843072593212,0.015223562717437744
Full Model,13,8.1777423592059e-05,0.006994485855102539,0.008961167186498642,0.011044501326978207,0.015317386947572231
Full Model,14,8.010731471586041e-05,0.00672925403341651,0.008915497921407223,0.01099126972258091,0.01561944093555212
Full Model,15,7.918071611540302e-05,0.006791845429688692,0.008807017467916012,0.01104795839637518,0.015448394231498241
Full Model,16,7.788807511866664e-05,0.006634376477450132,0.008839253336191177,0.010980922728776932,0.015666749328374863
Full Model,17,7.716474388988928e-05,0.006731831934303045,0.008716425858438015,0.011081885546445847,0.015460480004549026
Full Model,18,7.707311916390373e-05,0.006586326751857996,0.008835961110889912,0.011009699665009975,0.015761535614728928
Full Model,19,7.625233763152914e-05,0.006550685502588749,0.008655095472931862,0.01115027442574501,0.015758322551846504
Full Model,20,7.578631102073667e-05,0.006728259846568108,0.008634843863546848,0.011273356154561043,0.015551691874861717
Full Model,21,7.442433748257181e-05,0.006723072379827499,0.008581135421991348,0.011276600882411003,0.015517596155405045
Full Model,22,7.33558162826211e-05,0.00641989428550005,0.008551415055990219,0.011213564313948154,0.015926098451018333
Full Model,23,7.308418301568787e-05,0.0065709310583770275,0.008487707935273647,0.01109711267054081,0.015452710911631584
Full Model,24,7.271985305123962e-05,0.0066734421998262405,0.00848175399005413,0.011295614764094353,0.015556778758764267
Full Model,25,7.136364512271323e-05,0.006350180134177208,0.008457036688923836,0.011279268190264702,0.016007306054234505
Full Model,26,7.145489795338137e-05,0.006390034686774015,0.008350090123713017,0.01108253002166748,0.01557109598070383
Full Model,27,7.069085251949277e-05,0.006615388672798872,0.008403416723012924,0.011320752091705799,0.015558211132884026
Full Model,28,7.034157310807777e-05,0.006340073421597481,0.008308292366564274,0.011260793544352055,0.01583881489932537
Full Model,29,6.935908488465489e-05,0.00624461192637682,0.008352269418537617,0.011293505318462849,0.016085142269730568
Full Model,30,6.932484903964289e-05,0.006283984519541264,0.008233513683080673,0.011109890416264534,0.015676656737923622
