variant,epoch,train_loss,val_mae,val_rmse
scaled_h64_d010,1,0.5871187057346106,0.5627471208572388,0.7127420902252197
scaled_h64_d010,2,0.5483652232214808,0.5538596510887146,0.7022101283073425
scaled_h64_d010,3,0.5358066288754344,0.543149471282959,0.7001229524612427
scaled_h64_d010,4,0.5260466253384948,0.5449267625808716,0.6988263726234436
scaled_h64_d010,5,0.5174904111772776,0.5402647852897644,0.6993237137794495
scaled_h64_d010,6,0.5102004632353783,0.5432640910148621,0.7001714706420898
scaled_h64_d010,7,0.5054157115519047,0.5419068932533264,0.7017207741737366
scaled_h64_d010,8,0.49913225695490837,0.5469061732292175,0.7017340064048767
scaled_h64_d010,9,0.4910598713904619,0.5455989837646484,0.7004233002662659
scaled_h64_d010,10,0.4821675242856145,0.5473020672798157,0.7086467146873474
scaled_h64_d010,11,0.47978500463068485,0.5516626238822937,0.7040685415267944
scaled_h64_d010,12,0.47591533325612545,0.5472061038017273,0.7124052047729492
scaled_h64_d010,13,0.47265474684536457,0.5387088656425476,0.6956819891929626
scaled_h64_d010,14,0.46917725820094347,0.554262638092041,0.720872163772583
scaled_h64_d010,15,0.4645153908059001,0.5525460243225098,0.7176500558853149
scaled_h64_d010,16,0.46069961600005627,0.5567810535430908,0.7148574590682983
scaled_h64_d010,17,0.4570540599524975,0.5521728992462158,0.7097074389457703
scaled_h64_d010,18,0.4541553370654583,0.5550805926322937,0.7159083485603333
scaled_h64_d010,19,0.4505430515855551,0.5481007099151611,0.7156073451042175
scaled_h64_d010,20,0.44887564796954393,0.5404515862464905,0.7092888355255127
scaled_h64_d010,21,0.44995901733636856,0.5472356677055359,0.7113354206085205
scaled_h64_d010,22,0.4454095857217908,0.549846351146698,0.7165234684944153
scaled_h64_d010,23,0.4430755162611604,0.5445218682289124,0.7030764222145081
scaled_h96_d015,1,0.5814184844493866,0.5539581179618835,0.7007255554199219
scaled_h96_d015,2,0.5490209078416228,0.5451722741127014,0.6958062052726746
scaled_h96_d015,3,0.5392691744491458,0.5378105640411377,0.6921869516372681
scaled_h96_d015,4,0.5311827687546611,0.5427709221839905,0.6951799988746643
scaled_h96_d015,5,0.5238250279799104,0.5388569831848145,0.6939328908920288
scaled_h96_d015,6,0.5168863907456398,0.5390667915344238,0.694034218788147
scaled_h96_d015,7,0.5127397691830993,0.5383356213569641,0.6955053210258484
scaled_h96_d015,8,0.506692910566926,0.5440077781677246,0.6952336430549622
scaled_h96_d015,9,0.4996959129348397,0.5424062013626099,0.69622403383255
scaled_h96_d015,10,0.4942911034449935,0.5404381155967712,0.7028008699417114
scaled_h96_d015,11,0.4893403295427561,0.541302502155304,0.6922851800918579
scaled_h96_d015,12,0.4857295835390687,0.5440536141395569,0.7100099921226501
scaled_h96_d015,13,0.4825861817225814,0.5383565425872803,0.698371946811676
scaled_h128_d020,1,0.5826606415212154,0.5513622760772705,0.7086457014083862
scaled_h128_d020,2,0.5479459436610341,0.5448470115661621,0.6975324153900146
scaled_h128_d020,3,0.5388181935995817,0.5373266339302063,0.6948725581169128
scaled_h128_d020,4,0.5323361847549677,0.5402383804321289,0.6937851309776306
scaled_h128_d020,5,0.5248287534341216,0.5352720022201538,0.691742479801178
scaled_h128_d020,6,0.5197564791887999,0.5358454585075378,0.6939445734024048
scaled_h128_d020,7,0.5151471281424165,0.5385267734527588,0.6968156695365906
scaled_h128_d020,8,0.5085683632642031,0.5409308075904846,0.6945903897285461
scaled_h128_d020,9,0.5040544839575887,0.5401484370231628,0.697542130947113
scaled_h128_d020,10,0.49992305040359497,0.5391338467597961,0.7001657485961914
scaled_h128_d020,11,0.49525808170437813,0.5415324568748474,0.6970926523208618
scaled_h128_d020,12,0.4900345616042614,0.5426563620567322,0.7104929089546204
scaled_h128_d020,13,0.4885483141988516,0.5382459163665771,0.7027053833007812
scaled_h128_d020,14,0.48296972550451756,0.5437414050102234,0.707756519317627
scaled_h128_d020,15,0.4781289529055357,0.5450076460838318,0.7077423930168152
scaled_h64_d000,1,0.5792532525956631,0.5572482943534851,0.708525538444519
scaled_h64_d000,2,0.5381266130134463,0.5500179529190063,0.7035822868347168
scaled_h64_d000,3,0.5224062344059348,0.5439109802246094,0.6995949745178223
scaled_h64_d000,4,0.5084265135228634,0.5482711791992188,0.7078853845596313
scaled_h64_d000,5,0.49501555040478706,0.5488617420196533,0.7059240341186523
scaled_h64_d000,6,0.48146384861320257,0.5543484091758728,0.7108858227729797
scaled_h64_d000,7,0.46948742773383856,0.5576572418212891,0.727634608745575
scaled_h64_d000,8,0.45830958150327206,0.559062659740448,0.71349036693573
scaled_h64_d000,9,0.4480045912787318,0.5598442554473877,0.7165766358375549
scaled_h64_d000,10,0.43971344362944365,0.5587800145149231,0.7223339080810547
scaled_h64_d000,11,0.42893884237855673,0.5595385432243347,0.7233202457427979
scaled_h64_d000,12,0.4215520201250911,0.5553895831108093,0.7166380882263184
scaled_h64_d000,13,0.4145332667976618,0.5602169036865234,0.7248517274856567
