model,mae_snapshot_split,rmse_snapshot_split,mae_day_split,rmse_day_split,delta_mae_day_minus_snapshot,delta_rmse_day_minus_snapshot,mae_change_pct,rmse_change_pct
Linear Regression,0.0081260344013571,0.0107031278312206,0.008729656226933,0.0116399489343166,0.0006036218255759014,0.0009368211030959996,7.42824600244238,8.752778793908538
Random Forest,0.0081199565902352,0.010650117881596,0.0087516326457262,0.0116613740101456,0.0006316760554910001,0.0010112561285496,7.77930335552081,9.49525760928062
GNN Correlation Only,0.0089877285063266,0.012095108628273,0.009222344495356,0.0125314416363835,0.00023461598902939883,0.00043633300811050067,2.6104036060307005,3.607516240826045
GNN + Relationship,0.0090892268344759,0.0121490331366658,0.0093476679176092,0.0126850437372922,0.00025844108313329874,0.0005360106006263993,2.843378076483013,4.411960973328145
Rolling Volatility,0.0087901493534445,0.0111781554296612,0.009365308098495,0.0120895812287926,0.0005751587450504997,0.0009114257991314004,6.543219255144038,8.153633261467586
Full Model,0.0090310648083686,0.0120134595781564,0.0095289852470159,0.0128242578357458,0.0004979204386472997,0.0008107982575893992,5.513418951283615,6.749082163339873
GNN + News,0.0089439619332551,0.0119248973205685,0.0096242558211088,0.0130403479561209,0.0006802938878537005,0.0011154506355523994,7.606180492833467,9.353964277985263
