model,split,input,graph,mae,rmse,note
Random Forest,test,tabular price/news features,no,0.008119956590235233,0.010650117881596088,nonlinear tabular ML baseline
Linear Regression,test,tabular price/news features,no,0.008126034401357174,0.010703127831220627,baseline linear tabular model
Rolling Volatility,test,historical volatility only,no,0.008790149353444576,0.011178155429661274,prediction = rolling_vol_20 at T-1
GNN Correlation Only,test,price features only,price_correlation only,0.008987728506326675,0.01209510862827301,one-hop weighted correlation message passing; no news/relationship edges
GNN Correlation Only,validation,price features only,price_correlation only,0.010627520270645618,0.015079324133694172,one-hop weighted correlation message passing; no news/relationship edges
Linear Regression,validation,tabular price/news features,no,0.011305010877549648,0.015607289038598537,baseline linear tabular model
Random Forest,validation,tabular price/news features,no,0.01152703445404768,0.01592441461980343,nonlinear tabular ML baseline
Rolling Volatility,validation,historical volatility only,no,0.01361280120909214,0.018189048394560814,prediction = rolling_vol_20 at T-1
