variant,epoch,train_loss,val_mae,val_rmse
scaled_h64_d010,1,0.4866402633488178,0.009537521749734879,0.014062497764825821
scaled_h64_d010,2,0.4457822535187006,0.009480414912104607,0.014038488268852234
scaled_h64_d010,3,0.4309960901737213,0.009424421004951,0.01408430840820074
scaled_h64_d010,4,0.4193108147010207,0.009588115848600864,0.014246871694922447
scaled_h64_d010,5,0.40927098132669926,0.009685702621936798,0.014450641348958015
scaled_h64_d010,6,0.3991802539676428,0.00976763479411602,0.0145668750628829
scaled_h64_d010,7,0.39433200657367706,0.009874713607132435,0.014662197791039944
scaled_h64_d010,8,0.3872583582997322,0.009906046092510223,0.01471596397459507
scaled_h64_d010,9,0.3811735911294818,0.009908534586429596,0.014771481044590473
scaled_h64_d010,10,0.3754090750589967,0.010036870837211609,0.0149168586358428
scaled_h64_d010,11,0.369988264515996,0.009999348782002926,0.014947684481739998
scaled_h64_d010,12,0.3644550824537873,0.0098948385566473,0.014844078570604324
scaled_h64_d010,13,0.3601519288495183,0.009809618815779686,0.014758599922060966
scaled_h96_d015,1,0.48222561087459326,0.009229921735823154,0.013935732655227184
scaled_h96_d015,2,0.4454843522980809,0.00929284654557705,0.01398182287812233
scaled_h96_d015,3,0.4327506013214588,0.009295430965721607,0.013945754617452621
scaled_h96_d015,4,0.42560707312077284,0.009416034445166588,0.014026748016476631
scaled_h96_d015,5,0.41658606566488743,0.0094670495018363,0.014179826714098454
scaled_h96_d015,6,0.4069066308438778,0.009523926302790642,0.014283141121268272
scaled_h96_d015,7,0.4038448929786682,0.009574045427143574,0.014303910546004772
scaled_h96_d015,8,0.3956242613494396,0.009653696790337563,0.014398342929780483
scaled_h96_d015,9,0.39024738501757383,0.009732041507959366,0.014493399299681187
scaled_h96_d015,10,0.3817332573235035,0.009717022068798542,0.014499212615191936
scaled_h96_d015,11,0.379055742174387,0.00972419697791338,0.014420770108699799
scaled_h128_d020,1,0.4976945947855711,0.009460904635488987,0.014274822548031807
scaled_h128_d020,2,0.4521931177005172,0.009517394006252289,0.01419906597584486
scaled_h128_d020,3,0.4386677201837301,0.009484770707786083,0.014170758426189423
scaled_h128_d020,4,0.43214269168674946,0.009609282948076725,0.01421522255986929
scaled_h128_d020,5,0.42294243536889553,0.009681171737611294,0.014394436031579971
scaled_h128_d020,6,0.41426953114569187,0.009764120914041996,0.014575827866792679
scaled_h128_d020,7,0.4109036913141608,0.009843085892498493,0.014566998928785324
scaled_h128_d020,8,0.4026094889268279,0.009889768436551094,0.014637574553489685
scaled_h128_d020,9,0.39699828810989857,0.009940381161868572,0.014721840620040894
scaled_h128_d020,10,0.3910068469122052,0.009962735697627068,0.014829008840024471
scaled_h128_d020,11,0.3901580888777971,0.010059177875518799,0.014821593649685383
scaled_h64_d000,1,0.4791147243231535,0.009496360085904598,0.014046658761799335
scaled_h64_d000,2,0.43171375803649426,0.009474467486143112,0.014096563681960106
scaled_h64_d000,3,0.413048405200243,0.009497741237282753,0.014176775701344013
scaled_h64_d000,4,0.3966746050864458,0.00969767291098833,0.014411179348826408
scaled_h64_d000,5,0.38182516675442457,0.009789038449525833,0.014521249569952488
scaled_h64_d000,6,0.36898577492684126,0.00986882671713829,0.014672423712909222
scaled_h64_d000,7,0.35662044398486614,0.009883123449981213,0.014893397688865662
scaled_h64_d000,8,0.34637517016381025,0.01008623093366623,0.014734117314219475
scaled_h64_d000,9,0.3393746903166175,0.00991915538907051,0.014741211198270321
scaled_h64_d000,10,0.3313441155478358,0.009965439327061176,0.014905350282788277
scaled_h64_d000,11,0.3216622928157449,0.010080507956445217,0.0150692667812109
scaled_h64_d000,12,0.31575887091457844,0.009976920671761036,0.014891675673425198
