model,mae,rmse,source
Best tabular: RF price_only,0.008678208105266094,0.011629090644419193,outputs/09
Linear Regression full_59,0.008729017339646816,0.011640066280961037,outputs/08
Random Forest full_59,0.008751777932047844,0.011661285969987677,outputs/08
Tuned TopK Graph MLP,0.0090543609112501,0.0124402306973934,outputs/13
GNN Correlation Only,0.009223159402608871,0.012556280940771103,outputs/06
Best top-k graph before tuning,0.009534557349979877,0.012894208543002605,outputs/12
