epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,weighted_mae_q75,weighted_mae_q90
1,0.8923010379076004,0.5573865175247192,0.6561452746391296,0.7308944463729858,0.8660593032836914,0.33030615746974945,0.7504987239837645
2,0.8459459897130728,0.5790541768074036,0.6835982799530029,0.7530529499053955,0.88938307762146,0.33030615746974945,0.7504987239837645
3,0.8410482723265886,0.5678451657295227,0.6722907423973083,0.7403166890144348,0.8775731325149536,0.33030615746974945,0.7504987239837645
4,0.8383639547973871,0.5859948992729187,0.6950967907905579,0.7582799196243286,0.8958441615104675,0.33030615746974945,0.7504987239837645
5,0.8363816160708666,0.5887501835823059,0.6992419362068176,0.7594236135482788,0.8967212438583374,0.33030615746974945,0.7504987239837645
6,0.8343432955443859,0.5835253596305847,0.6929725408554077,0.7519126534461975,0.8873715400695801,0.33030615746974945,0.7504987239837645
7,0.832509471103549,0.5646755695343018,0.6707954406738281,0.7305955290794373,0.8642480969429016,0.33030615746974945,0.7504987239837645
8,0.8294005244970322,0.567520797252655,0.6734322309494019,0.731246829032898,0.861840009689331,0.33030615746974945,0.7504987239837645
9,0.8251628056168556,0.5839948654174805,0.6944257020950317,0.7424429059028625,0.8711228370666504,0.33030615746974945,0.7504987239837645
10,0.8206055257469416,0.5772162079811096,0.6872338056564331,0.7283657193183899,0.8526650667190552,0.33030615746974945,0.7504987239837645
11,0.8141980357468128,0.5586649179458618,0.6644731760025024,0.7027648091316223,0.8217108845710754,0.33030615746974945,0.7504987239837645
12,0.8085715193301439,0.5628616213798523,0.6722917556762695,0.6976191401481628,0.8150511980056763,0.33030615746974945,0.7504987239837645
13,0.8028738256543875,0.5250685214996338,0.6297299265861511,0.649354875087738,0.7667200565338135,0.33030615746974945,0.7504987239837645
14,0.7977108880877495,0.5340941548347473,0.6430230736732483,0.6536327600479126,0.7706103324890137,0.33030615746974945,0.7504987239837645
15,0.7935063019394875,0.549041211605072,0.6605642437934875,0.661925733089447,0.7786944508552551,0.33030615746974945,0.7504987239837645
16,0.7895506080240011,0.5588280558586121,0.6758279800415039,0.6648644208908081,0.7865356206893921,0.33030615746974945,0.7504987239837645
17,0.7860474605113268,0.5596345067024231,0.6754865050315857,0.6624582409858704,0.7837960720062256,0.33030615746974945,0.7504987239837645
18,0.7836669124662876,0.5396390557289124,0.6546173691749573,0.6404446959495544,0.7630504369735718,0.33030615746974945,0.7504987239837645
19,0.7797102686017752,0.5388831496238708,0.6525264978408813,0.6385259032249451,0.7612605690956116,0.33030615746974945,0.7504987239837645
20,0.7777788043022156,0.5464500188827515,0.6571362614631653,0.6470291018486023,0.7668085694313049,0.33030615746974945,0.7504987239837645
21,0.7774318810552359,0.522747278213501,0.6307430267333984,0.6245642304420471,0.7447193264961243,0.33030615746974945,0.7504987239837645
22,0.7722867298871279,0.5487959980964661,0.664965808391571,0.6496725082397461,0.7738174796104431,0.33030615746974945,0.7504987239837645
23,0.7685293536633253,0.540241539478302,0.6555179357528687,0.640734076499939,0.7657963037490845,0.33030615746974945,0.7504987239837645
24,0.765033608302474,0.5358489155769348,0.6483200788497925,0.6350841522216797,0.7587249279022217,0.33030615746974945,0.7504987239837645
25,0.7646437715739012,0.5473819375038147,0.6617899537086487,0.6493105292320251,0.7734838128089905,0.33030615746974945,0.7504987239837645
26,0.7581825219094753,0.5402244329452515,0.6523575782775879,0.644219696521759,0.7675920724868774,0.33030615746974945,0.7504987239837645
27,0.754050001502037,0.5121920108795166,0.6204445958137512,0.6172139048576355,0.7413167357444763,0.33030615746974945,0.7504987239837645
28,0.7535020355135202,0.4993434548377991,0.6067228317260742,0.6029956936836243,0.7292289733886719,0.33030615746974945,0.7504987239837645
29,0.7532358933240175,0.5264062285423279,0.641105592250824,0.6344025731086731,0.7607002258300781,0.33030615746974945,0.7504987239837645
30,0.7458498775959015,0.5330983996391296,0.6477333307266235,0.6432976722717285,0.7698614001274109,0.33030615746974945,0.7504987239837645
