model,split,input,graph,mae,rmse,note
Random Forest,test,tabular price/news features,no,0.008115880191326141,0.010646258480846882,nonlinear tabular ML baseline
Linear Regression,test,tabular price/news features,no,0.008120814338326454,0.010710005648434162,baseline linear tabular model
Rolling Volatility,test,historical volatility only,no,0.008790149353444576,0.011178155429661274,prediction = rolling_vol_20 at T-1
GNN Correlation Only,test,price features only,price_correlation only,0.008987728506326675,0.01209510862827301,one-hop weighted correlation message passing; no news/relationship edges
GNN Correlation Only,validation,price features only,price_correlation only,0.010627520270645618,0.015079324133694172,one-hop weighted correlation message passing; no news/relationship edges
Linear Regression,validation,tabular price/news features,no,0.01133791171014309,0.015654195100069046,baseline linear tabular model
Random Forest,validation,tabular price/news features,no,0.011509822681546211,0.01590905338525772,nonlinear tabular ML baseline
Rolling Volatility,validation,historical volatility only,no,0.01361280120909214,0.018189048394560814,prediction = rolling_vol_20 at T-1
