model,split,input,graph,mae,rmse,note
Hybrid MLP-GAT,test,full node features + graph attention neighbors,signed top-k + ownership/value-chain/sector/news,0.6158997154656363,0.7540331716231827,Hybrid self MLP with edge-type-aware neighbor attention; weighted MAE loss
Hybrid MLP-GAT,validation,full node features + graph attention neighbors,signed top-k + ownership/value-chain/sector/news,0.6156249868566555,0.7674822306276813,Hybrid self MLP with edge-type-aware neighbor attention; weighted MAE loss
