epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,weighted_mae_q75,weighted_mae_q90
1,0.8505076486617327,0.5590329170227051,0.6607822179794312,0.7255474925041199,0.8616195917129517,0.33030615746974945,0.7504987239837645
2,0.8354580067098141,0.5568732619285583,0.6618751883506775,0.7204184532165527,0.8586291670799255,0.33030615746974945,0.7504987239837645
3,0.8258028384298086,0.5329738259315491,0.636702835559845,0.6973624229431152,0.8367348313331604,0.33030615746974945,0.7504987239837645
4,0.8143837656825781,0.5418152809143066,0.6507295966148376,0.7051138281822205,0.8430101275444031,0.33030615746974945,0.7504987239837645
5,0.803463751450181,0.5378501415252686,0.6509206891059875,0.6993861198425293,0.8369532227516174,0.33030615746974945,0.7504987239837645
6,0.7953661484643817,0.5472269654273987,0.66729736328125,0.7220200300216675,0.8587199449539185,0.33030615746974945,0.7504987239837645
7,0.7820764128118753,0.49373093247413635,0.5979883670806885,0.6706539392471313,0.8074027895927429,0.33030615746974945,0.7504987239837645
8,0.7685222867876291,0.5172953009605408,0.6353970170021057,0.7005453705787659,0.8353485465049744,0.33030615746974945,0.7504987239837645
9,0.7536301659420133,0.4868062734603882,0.5990211963653564,0.6837496757507324,0.8204402923583984,0.33030615746974945,0.7504987239837645
10,0.7420662334188819,0.5047141909599304,0.6332674026489258,0.6917465925216675,0.8307793736457825,0.33030615746974945,0.7504987239837645
11,0.731798336841166,0.48332706093788147,0.596305787563324,0.6799164414405823,0.812127411365509,0.33030615746974945,0.7504987239837645
12,0.7140815053135157,0.4674275517463684,0.5864825248718262,0.660020649433136,0.7944806814193726,0.33030615746974945,0.7504987239837645
13,0.7036073775961995,0.4708293676376343,0.5950707793235779,0.6646769046783447,0.8004620671272278,0.33030615746974945,0.7504987239837645
14,0.694012782536447,0.4587077796459198,0.5826772451400757,0.6635400056838989,0.8015421032905579,0.33030615746974945,0.7504987239837645
15,0.6875990172848105,0.47951534390449524,0.6063713431358337,0.6765454411506653,0.8060606718063354,0.33030615746974945,0.7504987239837645
16,0.6774374544620514,0.42447200417518616,0.5352027416229248,0.6381168961524963,0.7769426107406616,0.33030615746974945,0.7504987239837645
17,0.6672576554119587,0.42758283019065857,0.5441913604736328,0.6415170431137085,0.7797133326530457,0.33030615746974945,0.7504987239837645
18,0.6565149743109941,0.4361448585987091,0.5579531192779541,0.6486333608627319,0.7857682108879089,0.33030615746974945,0.7504987239837645
19,0.6526751453056931,0.4083232581615448,0.5271943807601929,0.6273065209388733,0.7749315500259399,0.33030615746974945,0.7504987239837645
20,0.6432069167494774,0.41611310839653015,0.5345091819763184,0.6390717029571533,0.7777243852615356,0.33030615746974945,0.7504987239837645
21,0.6397919887676835,0.4363847076892853,0.5644762516021729,0.6618296504020691,0.7965181469917297,0.33030615746974945,0.7504987239837645
22,0.631977679207921,0.3956452012062073,0.5096612572669983,0.6216437220573425,0.7683912515640259,0.33030615746974945,0.7504987239837645
23,0.6182627407833934,0.38484132289886475,0.49862807989120483,0.6156250238418579,0.7674822211265564,0.33030615746974945,0.7504987239837645
24,0.613565681502223,0.4136693775653839,0.5397658348083496,0.6437723636627197,0.7850584387779236,0.33030615746974945,0.7504987239837645
25,0.6102526243776083,0.4133438467979431,0.542165219783783,0.6549184918403625,0.79550701379776,0.33030615746974945,0.7504987239837645
