epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,alpha,residual_train_std,weighted_mae_q75,weighted_mae_q90,branch
1,0.6819011280313134,0.4584168493747711,0.5726361870765686,0.5317105650901794,0.683318555355072,-0.42499999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
2,0.641357229091227,0.45968058705329895,0.5634765028953552,0.5355947017669678,0.6747056245803833,-0.125,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
3,0.5965085667558014,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
4,0.5562612069770694,0.44160106778144836,0.5288494825363159,0.5353522300720215,0.6630127429962158,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
5,0.5234630145132542,0.46385520696640015,0.56609046459198,0.5360733866691589,0.6730719804763794,-0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
6,0.4993883827701211,0.4449550211429596,0.5344622731208801,0.5362489223480225,0.6655310392379761,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
7,0.479626274202019,0.43982642889022827,0.5274506211280823,0.5359563827514648,0.6648613214492798,0.125,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
8,0.4580155462026596,0.4682166576385498,0.5709197521209717,0.5361093878746033,0.6721678972244263,-0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
9,0.4410419221967459,0.46971508860588074,0.5725651383399963,0.5359525680541992,0.671405553817749,-0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
10,0.4222526610828936,0.43884900212287903,0.5269731283187866,0.536139190196991,0.6652660369873047,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
11,0.4162870501168072,0.44301947951316833,0.5332583785057068,0.5363338589668274,0.6667561531066895,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
12,0.3963632839731872,0.46193280816078186,0.5603780150413513,0.5364457368850708,0.6699548363685608,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
13,0.3950454187579453,0.46719908714294434,0.5683724284172058,0.5361411571502686,0.6710736751556396,-0.04999999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
14,0.37876143446192145,0.40424293279647827,0.4826463758945465,0.5334659218788147,0.6650430560112,0.25,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
15,0.377395695541054,0.4741940200328827,0.5778622031211853,0.5361204147338867,0.6721146702766418,-0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
16,0.361791729927063,0.44014400243759155,0.5297858119010925,0.5360841155052185,0.6662731170654297,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
17,0.35373581759631634,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
18,0.3531711562536657,0.46273091435432434,0.5613048672676086,0.5364837050437927,0.6698821783065796,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
19,0.34746092464774847,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
20,0.3371200766414404,0.4628605246543884,0.5614946484565735,0.5364940762519836,0.6701503992080688,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
21,0.33409897703677416,0.4156574010848999,0.4967746436595917,0.5352091193199158,0.6645120978355408,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
22,0.33028856525197625,0.4024273455142975,0.48076778650283813,0.5343923568725586,0.6650888919830322,0.2250000000000001,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
23,0.32403303403407335,0.4123159348964691,0.4932767450809479,0.5352641344070435,0.6662563681602478,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
24,0.31796449376270175,0.4299474358558655,0.5163890719413757,0.5359939336776733,0.6663706302642822,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
25,0.3206142168492079,0.46999114751815796,0.5716670155525208,0.5363380908966064,0.6710983514785767,-0.04999999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
26,0.3106617359444499,0.43673068284988403,0.5257426500320435,0.5363340973854065,0.6670584678649902,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
27,0.30842877132818103,0.3904300034046173,0.4657554030418396,0.533812940120697,0.6675065159797668,0.25,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
28,0.3085585106164217,0.4034996032714844,0.48236748576164246,0.5345683693885803,0.6664249300956726,0.20000000000000018,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
29,0.3058026391081512,0.42048290371894836,0.50431227684021,0.535150408744812,0.6656269431114197,0.125,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
30,0.2972681075334549,0.4287479519844055,0.515792727470398,0.5358466506004333,0.6674466133117676,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
31,0.3017412859480828,0.43542060256004333,0.5242767930030823,0.5362206101417542,0.6668333411216736,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
32,0.29799577104859054,0.40620285272598267,0.48713740706443787,0.535020112991333,0.6676298975944519,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
33,0.28683815081603825,0.44287416338920593,0.5342617630958557,0.5364385843276978,0.6681833267211914,0.050000000000000044,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
34,0.2875382781494409,0.46415233612060547,0.5628427267074585,0.5364205241203308,0.6696683168411255,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645,ridge_residual_gnn
