epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,alpha,residual_train_std,weighted_mae_q75,weighted_mae_q90
15,0.3761704205535352,0.46836575865745544,0.5693170428276062,0.5363565683364868,0.6710228323936462,-0.04999999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645
16,0.35898203821852803,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
17,0.35080133751034737,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
18,0.3496213601902127,0.46840888261795044,0.5694102644920349,0.5362609028816223,0.6707431077957153,-0.04999999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645
19,0.35013478668406606,0.43912404775619507,0.5286120176315308,0.536201000213623,0.666619062423706,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645
20,0.33554069604724646,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
21,0.33156149415299296,0.43925240635871887,0.5284770131111145,0.536299467086792,0.6660810112953186,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645
22,0.3319375393912196,0.42593932151794434,0.5113973021507263,0.5357281565666199,0.6654027700424194,0.125,0.6857349276542664,0.33030615746974945,0.7504987239837645
23,0.3227473581209779,0.4121379554271698,0.49325910210609436,0.5346090197563171,0.664935290813446,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645
24,0.319208008935675,0.44316232204437256,0.5344604849815369,0.5364458560943604,0.667712926864624,0.050000000000000044,0.6857349276542664,0.33030615746974945,0.7504987239837645
25,0.3180307161528617,0.4636588990688324,0.5624050498008728,0.5364100933074951,0.6701171398162842,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645
26,0.31394223868846893,0.4428837299346924,0.5342091917991638,0.5364423394203186,0.6677691340446472,0.050000000000000044,0.6857349276542664,0.33030615746974945,0.7504987239837645
27,0.30983485956676304,0.409598171710968,0.4909328818321228,0.5347164273262024,0.6665699481964111,0.17500000000000004,0.6857349276542664,0.33030615746974945,0.7504987239837645
28,0.30628459667786956,0.4306252896785736,0.51808762550354,0.536090075969696,0.6675935387611389,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645
29,0.303612181218341,0.4351162612438202,0.5239637494087219,0.5361773371696472,0.6670697927474976,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645
30,0.30129471607506275,0.44236862659454346,0.53383868932724,0.5363860130310059,0.667974591255188,0.050000000000000044,0.6857349276542664,0.33030615746974945,0.7504987239837645
31,0.2951903766952455,0.4642890989780426,0.5631404519081116,0.5364598035812378,0.6700659990310669,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645
32,0.29494438180699944,0.4274336099624634,0.5146926641464233,0.535972535610199,0.6678032279014587,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645
33,0.28714253660291433,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
34,0.2849106427747756,0.4638480544090271,0.5623299479484558,0.5364288091659546,0.6697673797607422,-0.02499999999999991,0.6857349276542664,0.33030615746974945,0.7504987239837645
35,0.2815760807134211,0.4278310239315033,0.5153912901878357,0.5358582735061646,0.6665461659431458,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645
