epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,alpha,residual_train_std,weighted_mae_q75,weighted_mae_q90
1,0.6825002506375313,0.4589144289493561,0.5773397088050842,0.5303301215171814,0.6867244839668274,-0.475,0.6857349276542664,0.33030615746974945,0.7504987239837645
2,0.6433237474411726,0.46251562237739563,0.5733139514923096,0.5340096354484558,0.6788528561592102,-0.22499999999999998,0.6857349276542664,0.33030615746974945,0.7504987239837645
3,0.5972543433308601,0.4515736699104309,0.5428189635276794,0.5363597869873047,0.6656423807144165,0.10000000000000009,0.6857349276542664,0.33030615746974945,0.7504987239837645
4,0.5548675153404474,0.44027549028396606,0.5265308022499084,0.5347769856452942,0.6620857119560242,0.20000000000000018,0.6857349276542664,0.33030615746974945,0.7504987239837645
5,0.5215342445299029,0.46125924587249756,0.5613429546356201,0.5364339351654053,0.671934187412262,-0.04999999999999993,0.6857349276542664,0.33030615746974945,0.7504987239837645
6,0.4979253485798836,0.4479248523712158,0.5388423800468445,0.5362330079078674,0.6657806634902954,0.07499999999999996,0.6857349276542664,0.33030615746974945,0.7504987239837645
7,0.4779999381862581,0.42918938398361206,0.5133216381072998,0.5347652435302734,0.6628172397613525,0.20000000000000018,0.6857349276542664,0.33030615746974945,0.7504987239837645
8,0.45619996171444654,0.44897374510765076,0.5413710474967957,0.5364588499069214,0.667321503162384,0.050000000000000044,0.6857349276542664,0.33030615746974945,0.7504987239837645
9,0.43860398698598146,0.4525659680366516,0.5466945767402649,0.5365044474601746,0.6681060194969177,0.025000000000000133,0.6857349276542664,0.33030615746974945,0.7504987239837645
10,0.4223791481927037,0.4339003562927246,0.520216703414917,0.5357686281204224,0.6641463041305542,0.125,0.6857349276542664,0.33030615746974945,0.7504987239837645
11,0.4132340857759118,0.4521894156932831,0.5462665557861328,0.5365095138549805,0.6681343913078308,0.025000000000000133,0.6857349276542664,0.33030615746974945,0.7504987239837645
12,0.39718667790293694,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
13,0.3941684323363006,0.45680123567581177,0.5529210567474365,0.536514937877655,0.6690553426742554,0.0,0.6857349276542664,0.33030615746974945,0.7504987239837645
14,0.37913239374756813,0.4140910506248474,0.4951631426811218,0.5340389609336853,0.6634956002235413,0.20000000000000018,0.6857349276542664,0.33030615746974945,0.7504987239837645
