epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,alpha,residual_train_std,weighted_mae_q75,weighted_mae_q90,branch
1,0.6648377254605293,0.3872412443161011,0.4814707934856415,0.5392932891845703,0.6913791298866272,-0.42499999999999993,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
2,0.6333458572626114,0.3893979489803314,0.48199671506881714,0.5401528477668762,0.688522458076477,-0.25,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
3,0.5999825578182936,0.39099976420402527,0.4778902232646942,0.5418906211853027,0.6828155517578125,-0.1499999999999999,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
4,0.5668032956309617,0.3734324872493744,0.44728517532348633,0.5412008166313171,0.6716477274894714,0.2250000000000001,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
5,0.530848344322294,0.38586992025375366,0.4668850898742676,0.5424349308013916,0.6788888573646545,0.0,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
6,0.5099317524582148,0.3764537572860718,0.45252078771591187,0.5419448018074036,0.674838125705719,0.10000000000000009,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
7,0.4885148163884878,0.3681952655315399,0.44174906611442566,0.54166179895401,0.6741744875907898,0.17500000000000004,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
8,0.46897008549422026,0.4006081223487854,0.48982828855514526,0.5417883992195129,0.683387279510498,-0.125,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
9,0.44953664019703865,0.382853239774704,0.46241495013237,0.5424104332923889,0.6780476570129395,0.025000000000000133,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
10,0.43298746505752206,0.3752066493034363,0.45175501704216003,0.5421814322471619,0.6762955784797668,0.07499999999999996,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
11,0.4238984836265445,0.3786725401878357,0.45674964785575867,0.5423958897590637,0.6774672269821167,0.050000000000000044,0.6775496602058411,0.33030615746974945,0.7504987239837645,histgbr_residual_gnn
