model,epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse,weighted_mae_q75,weighted_mae_q90
GNN Correlation Only,1,0.892301045358181,0.5573865175247192,0.6561452746391296,0.7308944463729858,0.8660593628883362,0.33030615746974945,0.7504987239837645
GNN Correlation Only,2,0.8459459897130728,0.5790541768074036,0.6835982799530029,0.7530529499053955,0.8893830180168152,0.33030615746974945,0.7504987239837645
GNN Correlation Only,3,0.8410482760518789,0.5678451061248779,0.6722907423973083,0.7403166890144348,0.8775731325149536,0.33030615746974945,0.7504987239837645
GNN Correlation Only,4,0.8383639547973871,0.5859948992729187,0.6950967907905579,0.7582799196243286,0.8958441615104675,0.33030615746974945,0.7504987239837645
GNN Correlation Only,5,0.8363816160708666,0.5887501835823059,0.6992419362068176,0.7594236135482788,0.8967212438583374,0.33030615746974945,0.7504987239837645
GNN Correlation Only,6,0.8343432992696762,0.5835253596305847,0.6929724812507629,0.7519126534461975,0.8873715400695801,0.33030615746974945,0.7504987239837645
GNN Correlation Only,7,0.8325094729661942,0.5646755695343018,0.6707954406738281,0.7305955290794373,0.8642480969429016,0.33030615746974945,0.7504987239837645
GNN Correlation Only,8,0.8294005244970322,0.567520797252655,0.6734322309494019,0.731246829032898,0.861840009689331,0.33030615746974945,0.7504987239837645
GNN Correlation Only,9,0.8251628018915653,0.5839948654174805,0.6944257020950317,0.7424428462982178,0.8711227774620056,0.33030615746974945,0.7504987239837645
GNN Correlation Only,10,0.8206055276095867,0.5772161483764648,0.6872338056564331,0.7283657193183899,0.8526650667190552,0.33030615746974945,0.7504987239837645
GNN Correlation Only,11,0.8141980320215225,0.5586649179458618,0.6644731760025024,0.7027647495269775,0.8217108845710754,0.33030615746974945,0.7504987239837645
GNN Correlation Only,12,0.8085715156048536,0.5628616213798523,0.6722917556762695,0.6976190805435181,0.8150511384010315,0.33030615746974945,0.7504987239837645
GNN Correlation Only,13,0.8028738331049681,0.5250685214996338,0.6297298669815063,0.6493548154830933,0.7667200565338135,0.33030615746974945,0.7504987239837645
GNN Correlation Only,14,0.7977108880877495,0.5340941548347473,0.6430230736732483,0.6536327600479126,0.7706102728843689,0.33030615746974945,0.7504987239837645
GNN Correlation Only,15,0.793506309390068,0.549041211605072,0.6605641841888428,0.661925733089447,0.7786943912506104,0.33030615746974945,0.7504987239837645
GNN Correlation Only,16,0.7895506136119366,0.5588279962539673,0.6758279800415039,0.6648643612861633,0.7865355610847473,0.33030615746974945,0.7504987239837645
GNN Correlation Only,17,0.786047400906682,0.5596386194229126,0.6754898428916931,0.6624636650085449,0.783799409866333,0.33030615746974945,0.7504987239837645
GNN Correlation Only,18,0.7836832068860531,0.5415256023406982,0.6568448543548584,0.6423089504241943,0.7648743391036987,0.33030615746974945,0.7504987239837645
GNN Correlation Only,19,0.7799439188092947,0.5391356348991394,0.6527330279350281,0.6388168334960938,0.7616427540779114,0.33030615746974945,0.7504987239837645
GNN Correlation Only,20,0.7775285765528679,0.5449978709220886,0.6553980112075806,0.6459642648696899,0.765747606754303,0.33030615746974945,0.7504987239837645
GNN Correlation Only,21,0.7775226384401321,0.5227990746498108,0.6309775710105896,0.6246265769004822,0.7450668811798096,0.33030615746974945,0.7504987239837645
GNN Correlation Only,22,0.7720221467316151,0.5510241389274597,0.6673130989074707,0.6523939371109009,0.7765060067176819,0.33030615746974945,0.7504987239837645
GNN Correlation Only,23,0.7686552982777357,0.5414434671401978,0.6567942500114441,0.6419267058372498,0.7668027281761169,0.33030615746974945,0.7504987239837645
GNN Correlation Only,24,0.764901427552104,0.5356212258338928,0.6481709480285645,0.6353389620780945,0.7587483525276184,0.33030615746974945,0.7504987239837645
GNN Correlation Only,25,0.7643711809068918,0.5512616038322449,0.6658052206039429,0.6528363823890686,0.7763300538063049,0.33030615746974945,0.7504987239837645
GNN Correlation Only,26,0.7589590027928352,0.544627845287323,0.657365083694458,0.6489957571029663,0.7726971507072449,0.33030615746974945,0.7504987239837645
GNN Correlation Only,27,0.7543994057923555,0.5177021622657776,0.6259862780570984,0.6221635341644287,0.7453694343566895,0.33030615746974945,0.7504987239837645
GNN Correlation Only,28,0.753600874915719,0.5021116137504578,0.6092658042907715,0.6066861152648926,0.7322900891304016,0.33030615746974945,0.7504987239837645
GNN Correlation Only,29,0.7547966688871384,0.5297747850418091,0.6445447206497192,0.6385381817817688,0.765192449092865,0.33030615746974945,0.7504987239837645
GNN Correlation Only,30,0.7456721384078264,0.5256806015968323,0.6399713158607483,0.6347792744636536,0.7619049549102783,0.33030615746974945,0.7504987239837645
GNN + News,1,0.8572430647909641,0.5572123527526855,0.6564531326293945,0.7188429832458496,0.8509250283241272,0.33030615746974945,0.7504987239837645
GNN + News,2,0.839405320584774,0.560779869556427,0.66225665807724,0.7185570597648621,0.8508554100990295,0.33030615746974945,0.7504987239837645
GNN + News,3,0.8326619770377874,0.5481923818588257,0.649681568145752,0.70079505443573,0.8337967395782471,0.33030615746974945,0.7504987239837645
GNN + News,4,0.8280569985508919,0.5602442026138306,0.664734959602356,0.7102221250534058,0.8430710434913635,0.33030615746974945,0.7504987239837645
GNN + News,5,0.8251316715031862,0.5521157383918762,0.6571182012557983,0.6983960866928101,0.8294491767883301,0.33030615746974945,0.7504987239837645
GNN + News,6,0.8214418683201075,0.5673192143440247,0.6768861413002014,0.7073167562484741,0.8357799053192139,0.33030615746974945,0.7504987239837645
GNN + News,7,0.8194122090935707,0.5675057172775269,0.6745678186416626,0.7098514437675476,0.8364855051040649,0.33030615746974945,0.7504987239837645
GNN + News,8,0.8132183812558651,0.5553448796272278,0.6630458831787109,0.6880573034286499,0.8103235960006714,0.33030615746974945,0.7504987239837645
