ticker,date,title,url
BFC,18/12/2025,BFC: Bổ nhiệm lại &#212;ng Ng&#244; Văn Đ&#244;ng tiếp tục giữ chức Tổng gi&#225;m đốc,//vietstock.vn/2025/12/bfc-bo-nhiem-lai-ong-ngo-van-dong-tiep-tuc-giu-chuc-tong-giam-doc-214-1382681.htm
BFC,28/10/2025,BFC: BCTC Hợp nhất qu&#253; 3 năm 2025,//vietstock.vn/2025/10/bfc-bctc-hop-nhat-quy-3-nam-2025-737-1366427.htm
BFC,28/10/2025,BFC: BCTC qu&#253; 3 năm 2025,//vietstock.vn/2025/10/bfc-bctc-quy-3-nam-2025-737-1366428.htm
BFC,15/10/2025,BFC: Nghị quyết HĐQT về việc th&#244;ng qua kết quả ước thực hiện kế hoạch SXKD qu&#253; 3. 9 th&#225;ng đầu năm 2025 v&#224; kế hoạch SXKD qu&#253; 4/2025,//vietstock.vn/2025/10/bfc-nghi-quyet-hdqt-ve-viec-thong-qua-ket-qua-uoc-thuc-hien-ke-hoach-sxkd-quy-3-9-thang-dau-nam-2025-va-ke-hoach-sxkd-quy-4-2025-737-1361719.htm
BFC,22/09/2025,"C&#243; n&#234;n mua VHM, BFC v&#224; ACB?",//vietstock.vn/2025/09/co-nen-mua-vhm-bfc-va-acb-145-1354164.htm
BFC,08/08/2025,BFC: BCTC 6 th&#225;ng đầu năm 2025,//vietstock.vn/2025/08/bfc-bctc-6-thang-dau-nam-2025-737-1339950.htm
BFC,08/08/2025,BFC: BCTC Hợp nhất 6 th&#225;ng đầu năm 2025,//vietstock.vn/2025/08/bfc-bctc-hop-nhat-6-thang-dau-nam-2025-737-1339951.htm
BFC,30/07/2025,BFC: B&#225;o c&#225;o t&#236;nh h&#236;nh quản trị 6 th&#225;ng đầu năm 2025,//vietstock.vn/2025/07/bfc-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025-737-1335281.htm
BFC,25/07/2025,BFC: Giấy chứng nhận đăng k&#253; doanh nghiệp thay đổi lần thứ 6,//vietstock.vn/2025/07/bfc-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-6-737-1333083.htm
BFC,25/07/2025,BFC: BCTC qu&#253; 2 năm 2025,//vietstock.vn/2025/07/bfc-bctc-quy-2-nam-2025-737-1333051.htm
BFC,25/07/2025,BFC: BCTC Hợp nhất qu&#253; 2 năm 2025,//vietstock.vn/2025/07/bfc-bctc-hop-nhat-quy-2-nam-2025-737-1333052.htm
BFC,11/07/2025,"BFC ước l&#227;i qu&#253; 2 hơn 184 tỷ, 6 th&#225;ng vượt 15% kế hoạch năm",//vietstock.vn/2025/07/bfc-uoc-lai-quy-2-hon-184-ty-6-thang-vuot-15-ke-hoach-nam-737-1327193.htm
BFC,08/07/2025,BFC: Nghị quyết HĐQT số 64 ng&#224;y 08/07/2025,//vietstock.vn/2025/07/bfc-nghi-quyet-hdqt-so-64-ngay-08-07-2025-737-1326178.htm
BFC,01/07/2025,IR Awards 2025: 460 doanh nghiệp ni&#234;m yết ho&#224;n th&#224;nh tốt nghĩa vụ c&#244;ng bố th&#244;ng tin năm 2025,//vietstock.vn/2025/07/ir-awards-2025-460-doanh-nghiep-niem-yet-hoan-thanh-tot-nghia-vu-cong-bo-thong-tin-nam-2025-830-1323066.htm
BFC,24/06/2025,BFC: Th&#244;ng b&#225;o về việc k&#253; hợp đồng kiểm to&#225;n BCTC năm 2025,//vietstock.vn/2025/06/bfc-thong-bao-ve-viec-ky-hop-dong-kiem-toan-bctc-nam-2025-737-1321240.htm
BFC,23/06/2025,Ph&#226;n t&#237;ch kỹ thuật phi&#234;n chiều 23/06: Trạng th&#225;i giằng co trong phi&#234;n,//vietstock.vn/2025/06/phan-tich-ky-thuat-phien-chieu-2306-trang-thai-giang-co-trong-phien-585-1320635.htm
BFC,11/06/2025,BFC: Nghị quyết HĐQT về việc lựa chọn đơn vị kiểm to&#225;n cho năm 2025,//vietstock.vn/2025/06/bfc-nghi-quyet-hdqt-ve-viec-lua-chon-don-vi-kiem-toan-cho-nam-2025-737-1317312.htm
BFC,02/06/2025,"Ph&#226;n b&#243;n B&#236;nh Điền sắp trả cổ tức 2,500 đồng/cp",//vietstock.vn/2025/06/phan-bon-binh-dien-sap-tra-co-tuc-2500-dongcp-738-1314062.htm
BFC,29/05/2025,BFC: Th&#244;ng b&#225;o về ng&#224;y đăng k&#253; cuối c&#249;ng chi trả cổ tức đợt cuối năm 2024 bằng tiền,//vietstock.vn/2025/05/bfc-thong-bao-ve-ngay-dang-ky-cuoi-cung-chi-tra-co-tuc-dot-cuoi-nam-2024-bang-tien-737-1313070.htm
BFC,26/05/2025,BFC: Nghị quyết HĐQT về việc chi trả cổ tức đợt cuối năm 2024 bằng tiền,//vietstock.vn/2025/05/bfc-nghi-quyet-hdqt-ve-viec-chi-tra-co-tuc-dot-cuoi-nam-2024-bang-tien-737-1312281.htm
BFC,06/05/2025,Ph&#226;n t&#237;ch kỹ thuật phi&#234;n chiều 06/05: Thanh khoản c&#243; sự cải thiện,//vietstock.vn/2025/05/phan-tich-ky-thuat-phien-chieu-0605-thanh-khoan-co-su-cai-thien-585-1305103.htm
BFC,05/05/2025,BFC: Th&#244;ng b&#225;o thay đổi nh&#226;n sự Hội đồng quản trị v&#224; Ban kiểm so&#225;t C&#244;ng ty nhiệm kỳ 2025 - 2030,//vietstock.vn/2025/05/bfc-thong-bao-thay-doi-nhan-su-hoi-dong-quan-tri-va-ban-kiem-soat-cong-ty-nhiem-ky-2025-2030-214-1306079.htm
BFC,05/05/2025,"BFC: Nghị quyết, Bi&#234;n bản họp ĐHĐCĐ thường ni&#234;n năm 2025 v&#224; Nghị quyết HĐQT, Bi&#234;n bản họp BKS",//vietstock.vn/2025/05/bfc-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-nam-2025-va-nghi-quyet-hdqt-bien-ban-hop-bks-737-1306081.htm
