ticker,date,title,url
ORS,31/12/2025,ORS: Th&#244;ng b&#225;o nhận được C&#244;ng văn của UBCKNN về hồ sơ đăng k&#253; ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ,//vietstock.vn/2025/12/ors-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-ho-so-dang-ky-chao-ban-co-phieu-rieng-le-739-1387226.htm
ORS,31/12/2025,"ORS: Nghị quyết th&#244;ng qua kết quả đợt ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ v&#224; tăng vốn điều lệ, Th&#244;ng b&#225;o thay đổi số cổ phiếu c&#243; quyền biểu quyết sau đợt ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ",//vietstock.vn/2025/12/ors-nghi-quyet-thong-qua-ket-qua-dot-chao-ban-co-phieu-rieng-le-va-tang-von-dieu-le-thong-bao-thay-doi-so-co-phieu-co-quyen-bieu-quyet-sau-dot-chao-ban-co-phieu-rieng-le-737-1387261.htm
ORS,31/12/2025,"ORS: Nghị quyết th&#244;ng qua kết quả đợt ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ v&#224; tăng vốn điều lệ, Th&#244;ng b&#225;o thay đổi số cổ phiếu c&#243; quyền biểu quyết sau đợt ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ",//vietstock.vn/2025/12/ors-nghi-quyet-thong-qua-ket-qua-dot-chao-ban-co-phieu-rieng-le-va-tang-von-dieu-le-thong-bao-thay-doi-so-co-phieu-co-quyen-bieu-quyet-sau-dot-chao-ban-co-phieu-rieng-le-737-1387311.htm
ORS,31/12/2025,ORS: C&#244;ng văn số 9485/UBCK-QLKD của UBCKNN về việc đ&#227; nhận được hồ sơ đăng k&#253; ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ của C&#244;ng ty Cổ phần Chứng kho&#225;n Ti&#234;n Phong,//vietstock.vn/2025/12/ors-cong-van-so-9485-ubckqlkd-cua-ubcknn-ve-viec-da-nhan-duoc-ho-so-dang-ky-chao-ban-co-phieu-rieng-le-cua-cong-ty-co-phan-chung-khoan-tien-phong-739-1387052.htm
ORS,29/12/2025,ORS: Nghị quyết v&#224; Bi&#234;n bản họp ĐHĐCĐ bất thường 2025,//vietstock.vn/2025/12/ors-nghi-quyet-va-bien-ban-hop-dhdcd-bat-thuong-2025-737-1385691.htm
ORS,29/12/2025,"ORS: Sửa đổi, bổ sung điều lệ",//vietstock.vn/2025/12/ors-sua-doi-bo-sung-dieu-le-737-1385692.htm
ORS,29/12/2025,ORS: CBTT th&#244;ng qua phương &#225;n ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ,//vietstock.vn/2025/12/ors-cbtt-thong-qua-phuong-an-chao-ban-co-phieu-rieng-le-739-1385693.htm
ORS,29/12/2025,ORS: Miễn nhiệm chức danh Th&#224;nh vi&#234;n độc lập Hội đồng quản trị đối với B&#224; Trương Thị Ho&#224;ng Lan,//vietstock.vn/2025/12/ors-mien-nhiem-chuc-danh-thanh-vien-doc-lap-hoi-dong-quan-tri-doi-voi-ba-truong-thi-hoang-lan-214-1385687.htm
ORS,26/12/2025,"Chứng kho&#225;n Ti&#234;n Phong th&#244;ng qua tăng vốn l&#234;n tr&#234;n 6,000 tỷ, TPBank sẽ trở th&#224;nh ng&#226;n h&#224;ng mẹ",//vietstock.vn/2025/12/chung-khoan-tien-phong-thong-qua-tang-von-len-tren-6000-ty-tpbank-se-tro-thanh-ngan-hang-me-764-1385356.htm
ORS,26/12/2025,ORS: Th&#244;ng b&#225;o đơn xin từ nhiệm của Th&#224;nh vi&#234;n HĐQT,//vietstock.vn/2025/12/ors-thong-bao-don-xin-tu-nhiem-cua-thanh-vien-hdqt-214-1385023.htm
ORS,26/12/2025,ORS: Bi&#234;n bản họp v&#224; nghị quyết Đại hội đồng cổ đ&#244;ng bất thường,//vietstock.vn/2025/12/ors-bien-ban-hop-va-nghi-quyet-dai-hoi-dong-co-dong-bat-thuong-737-1385467.htm
ORS,26/12/2025,ORS: C&#225;c nghị quyết HĐQT th&#244;ng qua triển khai đợt ch&#224;o b&#225;n cổ phiếu ri&#234;ng lẻ,//vietstock.vn/2025/12/ors-cac-nghi-quyet-hdqt-thong-qua-trien-khai-dot-chao-ban-co-phieu-rieng-le-737-1385468.htm
ORS,26/12/2025,ORS: Hiệu chỉnh Điều lệ,//vietstock.vn/2025/12/ors-hieu-chinh-dieu-le-737-1385470.htm
ORS,25/12/2025,ORS: Đơn từ nhiệm Th&#224;nh vi&#234;n HĐQT B&#224; Trương Thị Ho&#224;ng Lan,//vietstock.vn/2025/12/ors-don-tu-nhiem-thanh-vien-hdqt-ba-truong-thi-hoang-lan-214-1384645.htm
ORS,25/12/2025,ORS: Cập nhật Dự thảo t&#224;i liệu họp Đại Hội Đồng Cổ Đ&#244;ng bất thường năm 2025,//vietstock.vn/2025/12/ors-cap-nhat-du-thao-tai-lieu-hop-dai-hoi-dong-co-dong-bat-thuong-nam-2025-737-1384685.htm
ORS,08/12/2025,ORS: Th&#244;ng b&#225;o mời họp v&#224; dự thảo t&#224;i liệu họp ĐHĐCĐ BT 2025,//vietstock.vn/2025/12/ors-thong-bao-moi-hop-va-du-thao-tai-lieu-hop-dhdcd-bt-2025-737-1379264.htm
