feature,importance
rolling_vol_20_t_minus_1,0.20705025540326438
return_mean_10,0.04960268331486103
sector_shock,0.042912637902523594
log_return_lag_15,0.02815358928563252
pos_corr_neighbor_exposure,0.027820745938887968
log_return_lag_16,0.025514139572918686
return_mean_5,0.025093372567030977
log_return_lag_18,0.024567930966410984
realized_vol_lag_10,0.023726899508618737
log_return_lag_19,0.02347161869671833
log_return_lag_12,0.02197006655105627
log_return_lag_17,0.02177917820061158
log_return_lag_5,0.02158683083192404
log_return_lag_20,0.02155707490826658
abs_return_mean_10,0.020817334873172198
log_return_lag_13,0.02043916844734424
sector_neighbor_exposure,0.0203446219225223
log_return_lag_14,0.02006281762534546
log_return_lag_2,0.019930504074687657
log_return_lag_11,0.01991806146264439
log_return_lag_6,0.019393824850176017
log_return_lag_8,0.0190371407716738
log_return_lag_10,0.018807913989999883
volatility_shock,0.01838391673966612
log_return_lag_7,0.01837496261776363
abs_return_mean_5,0.01832869093721003
log_return_lag_9,0.018179738121764828
log_return_lag_4,0.016926168536292786
log_return_lag_3,0.016574656088121763
max_abs_return_5,0.01626766093894446
log_return_lag_1,0.0159608594567245
return_shock,0.01594410783007741
volume_ratio_20_t_minus_1,0.014309904079558917
volume_shock,0.014272346540110276
realized_vol_lag_5,0.012096986198699174
value_chain_neighbor_exposure,0.011050899413611983
industry_Banking,0.007472112642677821
ownership_neighbor_exposure,0.006211144720662737
direct_news_sentiment,0.005085921126778008
industry_Securities,0.004611337250107067
category_earnings,0.0039090186171085554
is_primary,0.0031392487386490632
mention_count,0.0030745595040953693
industry_MaterialsChemicalsSteel,0.00194586027794014
industry_RealEstate,0.0016889373499908806
news_relevance_score,0.0014602271560093
industry_ConstructionInfra,0.0014061269628257607
industry_ConsumerFoodAgri,0.0012890344386781122
category_leadership,0.0011186351251872735
category_other,0.00088371144956013
negative_news_count,0.0006872272492045601
category_debt_bond,0.000665799253952095
industry_EnergyUtilitiesOilGas,0.000653164067623967
category_ma_ownership,0.0006249620325166626
industry_HealthcarePharma,0.0005871005375418421
industry_ICTTelecom,0.0005764516863066821
neg_corr_neighbor_exposure,0.0005032245795436349
industry_TransportLogisticsAviation,0.00045397983956275143
category_market_industry,0.0004404633521002937
category_legal_regulatory,0.00030933774307206625
category_capital_issuance,0.0002790681725606307
category_project_contract,0.00022844605283182972
category_dividend,0.00016961944192648868
industry_IndustrialsHoldings,0.00015675441696266424
industry_RetailDistribution,0.0001392170491860403
log_market_cap,0.0
trading_value_ratio_20,0.0
universe_market_roll_vol_20,0.0
market_liquidity_ratio_20,0.0
universe_market_return,0.0
oil_return_1d,0.0
usd_vnd_return_1d,0.0
vni_available,0.0
vni_roll_vol_20,0.0
vni_return_1d,0.0
news_neighbor_exposure,0.0
