model,category,n,mae,rmse,mean_y_true,mean_y_pred
GNN Correlation Only,debt_bond,878,0.5898476950034898,0.7355708317050645,-0.11993857590332606,-0.010364647095785873
GNN Correlation Only,dividend,302,0.6531383625524834,0.770929023451707,-0.039072536147933525,0.10609510667086093
GNN Correlation Only,earnings,1146,0.6222727205156966,0.7533690013266211,-0.01436807292214486,0.18268926142207506
GNN Correlation Only,leadership,698,0.5985622925072291,0.730880477655201,-0.07683255555032135,0.04994241793017193
GNN Correlation Only,legal_regulatory,172,0.6791207089181011,0.7965568657839605,-0.11731149629841364,0.1526490610883721
GNN Correlation Only,ma_ownership,862,0.6274245226756007,0.7467716959088391,-0.08025613706612963,0.0900854786673434
GNN Correlation Only,market_industry,806,0.6239914332109013,0.7503191891905342,-0.0461888198414933,0.05376006696565757
GNN Correlation Only,other,1754,0.6267285932142103,0.7548193603995922,-0.08779166017880954,0.1070624637703341
GNN Correlation Only,project_contract,292,0.576785234079492,0.6836868248512268,0.02744067188715945,0.09408155934041096
Hybrid MLP-GAT,capital_issuance,183,0.6219966420830718,0.7532743316558141,-0.021802491218340204,-0.1324486536644809
Hybrid MLP-GAT,debt_bond,439,0.5571605382113615,0.7053107948328257,-0.11993857590332606,-0.21758432289020502
Hybrid MLP-GAT,dividend,151,0.5780064130053902,0.7100586076492874,-0.039072536147933525,-0.21196901888112585
Hybrid MLP-GAT,earnings,573,0.6244902695132646,0.7625084669426976,-0.01436807292214486,0.17636526696906807
Hybrid MLP-GAT,leadership,349,0.5741065940531779,0.7066565760630596,-0.07683255555032135,-0.09526864338349572
Hybrid MLP-GAT,legal_regulatory,86,0.6001185369533719,0.7726266753084047,-0.11731149629841364,-0.054714151544186046
Hybrid MLP-GAT,ma_ownership,431,0.5572197907860021,0.6871910360037896,-0.08025613706612963,-0.1288882767313921
Hybrid MLP-GAT,market_industry,403,0.608427053511365,0.7482848730402296,-0.0461888198414933,-0.035139392292059556
Hybrid MLP-GAT,other,877,0.5869204041380881,0.7324292136041121,-0.08779166017880954,-0.14708892484388825
Hybrid MLP-GAT,project_contract,146,0.6122787573348365,0.7753766694728235,0.02744067188715945,-0.21348833242808224
Linear Regression,capital_issuance,183,0.5748290528552871,0.6941416407447073,-0.021802491218340204,-0.1846303471251366
Linear Regression,debt_bond,439,0.4995945938348527,0.6296071071353255,-0.11993857590332606,-0.24550314094738043
Linear Regression,dividend,151,0.5187312196009662,0.6530932268510293,-0.039072536147933525,-0.2079075694272848
Linear Regression,earnings,573,0.5317671502355013,0.6303258671068391,-0.01436807292214486,-0.06766402117137871
Linear Regression,leadership,349,0.5271385245707784,0.6350094321233469,-0.07683255555032135,-0.14895376294154727
Linear Regression,legal_regulatory,86,0.5561148195976682,0.6849304919649409,-0.11731149629841364,-0.13685785275093024
Linear Regression,ma_ownership,431,0.5275257518105134,0.6613269564063189,-0.08025613706612963,-0.2095219376584687
Linear Regression,market_industry,403,0.5525034080452235,0.6825718307210396,-0.0461888198414933,-0.19381373100967744
